N°Obs;1. Copiez ci-dessous l'extrait que vous trouvez problématique;"2. En option, si vous le souhaitez : quel est selon vous le type de problème?  (Vous pouvez cocher plusieurs réponses. Si vous ne savez pas que répondre, cochez ""autres"").";3. Autres :;4. En option, si vous le souhaitez : merci de localiser ce qui vous parait problématique dans l'extrait et d'indiquer pourquoi.;5. Pour finir, merci de préciser le niveau (ex. Licence1, Master 2 etc.), le contexte (ex. IUT Info-com, Master MEEF-PE), et le genre (ex. dissertation, mémoire, devoir d'analyse type CRPE etc.). Si vos étudiants n'ont pas pour langue maternelle le français, merci de l'indiquer aussi.;6. Clé;7. Date de saisie;8. Date de dernière modification;9. Date de dernier enregistrement;10. Temps de saisie;11. Langue;12. Origine;13. Appareil utilisé pour la saisie;14. Progression
1683;Dans notre étude, nous présentons les fonctions exécutives (FE) et leur développement psychologique chez l’enfant. ;Autres;Normes disciplinaires;Ecrit scientifique : style inapproprié (« nous présentons » au lieu de « nous nous intéressons aux fonctions exclusives et à leur… » par ex.);"Formation doctorale
Proposition de communication
Langue maternelle : arabe et/ou français
Didactique
";WP52-HEF9;06/05/2019 10:59:22;;06/05/2019 11:05:25;362,5039059;FR;Direct;PC;Terminé
1684;De façon plus générale, de nombreux travaux ont souligné l’impact des variables sociales et culturelles sur les processus émotionnels (Matsumoto, Keltner, Shiota, O’sullivan, & Frank, 2008). Ainsi, les normes émotionnelles varient énormément d’une culture à l’autre. ;"Syntaxe / Construction des phrases;Cohérence / cohésion / argumentation";;"Connecteur erroné (« ainsi ») 
Correction : …(…2008), ce qui tend à prouver que les normes…
";"Formation doctorale
Proposition de communication
Langue maternelle : arabe et/ou français
Didactique
";P5RC-BE59;06/05/2019 11:05:26;;06/05/2019 11:05:47;21,3642098;FR;Direct;PC;Terminé
1685;Il est important de signaler l’effet de genre et culture sur la RE et les FE.;Syntaxe / Construction des phrases;;Accord erroné de deux SN apposés (manque de préposition « de » + plusieurs compléments) (« l’effet de genre et culture » au lieu de « l’effet de genre et de culture »);"Formation doctorale
Proposition de communication
Langue maternelle : arabe et/ou français
Didactique
";JS8V-6S3J;06/05/2019 11:05:48;;06/05/2019 11:06:13;24,6830889;FR;Direct;PC;Terminé
1686;Pour ce faire, nous allons explorer chez les performances des enfants d’âge scolaire dans : (1) certains aspects du contrôle exécutif : inhibition, mémoire de travail, flexibilité et planification, (2) des émotions et de la régulation émotionnelle, (3) influence culturelle, enfants autochtones et enfants maghrébins. ;"Lexique;Syntaxe / Construction des phrases;Autres";Normes disciplinaires;"Lexique : Collocation erronée (« explorer les performances (…) dans certains aspects (…), des émotions (…), influence culturelle (…) » au lieu de « explorer les performances (…) à travers les indicateurs suivants (…) » par ex.)
Lexique : Choix erroné du mot (« influence » au lieu de « appartenance » par ex.)
Syntaxe : Présence erronée d’une préposition avant le syntagme (« des émotions et de la régulation émotionnelle » au lieu de « les émotions et la régulation émotionnelle » – il n’y a pas de syntagme dont le complément introduit par « de » pourrait être « les émotions et la régulation émotionnelle »)
Syntaxe : Présence erronée d’une préposition dans la construction verbale (« explorer chez les performances des enfants » au lieu de « explorer les performances des enfants »)
Normes disciplinaires : écrit scientifique : tournure ou unité lexicale inappropriée (« pour ce faire » au lieu de « dans cette perspective » par ex.)";"Formation doctorale
Proposition de communication
Langue maternelle : arabe et/ou français
Didactique
";YLR8-4L7S;06/05/2019 11:06:15;;06/05/2019 11:07:44;89,2716004;FR;Direct;PC;Terminé
1687;Nous avons en effet testé des enfants provenant de tous milieux sociaux, des enfants habitant en ville et à la campagne et originaire de deux cultures différentes, des enfants maghrébins et autochtones. ;"Orthographe;Syntaxe / Construction des phrases";;Accord erroné nom-adjectif en nombre (« des enfants habitant en ville (…) et originaire de deux cultures différentes » au lieu de « des enfants habitant en ville et (…) et originaires de deux cultures différentes »;"Formation doctorale
Proposition de communication
Langue maternelle : arabe et/ou français
Didactique
";E4TE-W8D7;06/05/2019 11:07:46;;06/05/2019 11:08:09;23,0962328;FR;Direct;PC;Terminé
1688;En effet, nous avons utilisé une batterie, dont le déroulement s'est déroulé en français, prend environ 1h et 35 minutes à administrer et comprend des questionnaires et des tests. Chaque enfant a réalisé individuellement le protocole, l’ordre de passation des tâches étant contrebalancé d’un sujet à l’autre. ;"Lexique;Syntaxe / Construction des phrases;Autres";Normes disciplinaires;"Lexique : Collocation erronée (« batterie…comprend des questionnaires et des tests » au lieu de « batterie de tests et de questionnaires » par ex.)
Lexique : Collocation erronée (« une batterie de tests et de questionnaires dont le déroulement s’est déroulé en français » au lieu de « une batterie de tests et de questionnaires que les participants ont passée en français » par ex.)
Syntaxe : Manque de pronom relatif « qui » (« (…)une batterie que (…), prend environ 1h et 35 minutes à administrer et comprend (…). » au lieu de « « (…)une batterie que (…), qui prend environ 1h et 35 minutes à administrer et qui comprend (…). »)
Normes disciplinaires : écrit scientifique : style inapproprié (phrase trop longue)
Correction : En effet, nous avons utilisé une batterie de tests et de questionnaires que les participants ont passée en français. La durée moyenne du déroulement de la tâche constituait environ 1h et 35 minutes.
";"Formation doctorale
Proposition de communication
Langue maternelle : arabe et/ou français
Didactique
";73P9-MK38;06/05/2019 11:08:10;;06/05/2019 11:08:48;37,4827118;FR;Direct;PC;Terminé
1689;Tout d'abord, afin de tester les hypothèses, des analyses de corrélations ont été effectuées entre principales FE - l'inhibition, la flexibilité, planification et la MT – ont aussi été liées at la RE, de même qu'entre la culture et la RE et des différences significatives dans les scores obtenus aux épreuves administrées en fonction de l’âge et du genre. ;"Syntaxe / Construction des phrases;Autres";Normes disciplinaires;"Syntaxe : Connecteur erroné (« tout d’abord » + « de même » ne fonctionne pas bien)
Syntaxe : Construction syntaxique erronée (« ont aussi été liées at la » au lieu de conjonction « et »)
Normes disciplinaires : écrit scientifique : style inapproprié (phrase trop longue) 
Normes disciplinaires : écrit scientifique : style inapproprié (construction lourde)
Correction (possible mais on ne sait pas tout à fait ce que veut dire l’auteure) : Dans un premier temps, nous avons effectué des analyses de corrélations entre principales FE, notamment entre l’inhibition, la flexibilité et la planification d’un côté et la MT d’un autre. Dans un deuxième temps, nous avons comparé les résultats de notre première analyse avec la RE afin de vérifier une interconnexion avec la RE, la MT et les FE. Dans un dernier temps, nous avons étudié la corrélation entre, d’une part, la culture et la RE et, d’autre part, les différences significatives dans les scores obtenus aux épreuves administrées en fonction de l’âge et du genre. 
";"Formation doctorale
Proposition de communication
Langue maternelle : arabe et/ou français
Didactique
";N9ZZ-JZQZ;06/05/2019 11:08:49;;06/05/2019 11:09:19;30,1381215;FR;Direct;PC;Terminé
1690;L’échange de renseignements est un outil grâce auquel les pays ont connaissance des éléments de patrimoine de leurs résidents ayant échappé à l’impôt, dissimulés à l’étranger, permettant ainsi la prévention des manquements futurs des contribuables à leurs obligations fiscales et le renforcement de l’intégrité du système financier et fiscal international pour la lutte contre le blanchiment de capitaux et contre la corruption. ;"Syntaxe / Construction des phrases;Autres";Normes disciplinaires;"Syntaxe : Place de l’apposition erronée : apposition trop éloignée de son référent (« est un outil (…), permettant ainsi la prévention… »)
Normes disciplinaires : écrit scientifique : style inapproprié (vague) (le renforcement (…) pour la lutte (…) et contre le blanchiment (…).)
Normes disciplinaires : écrit scientifique : style inapproprié (phrase trop longue)
Normes disciplinaires : écrit scientifique : tournure ou unité lexicale inappropriée (« les pays » au lieu de « les Etats »)
Correction : L’échange de renseignements est un outil grâce auquel les Etats  ont connaissance des éléments de patrimoine de leurs résidents ayant échappé à l’impôt, dissimulés à l’étranger. Cet échange permet ainsi la prévention des manquements futurs des contribuables à leurs obligations fiscales et le renforcement de l’intégrité du système financier et fiscal international. Ces mesures doivent être prises dans l’objectif de lutter contre le blanchiment de capitaux et contre la corruption. 
";"Formation doctorale
Proposition de communication
Langue maternelle : arabe (Liban)
Economique 
";BUTG-6C5Y;06/05/2019 11:09:21;;06/05/2019 11:32:35;1393,906067;FR;Direct;PC;Terminé
1691;Ce sujet constitue depuis plusieurs années un défi majeur pour les administrations fiscales pour améliorer la transparence et la coopération à l’échelle mondiale, et il constitue un défi majeur pour le Liban, pays ayant toujours jouit d’un système économique libéral dans un contexte financier attractif et performant. ;"Orthographe;Ponctuation;Autres";Normes disciplinaires;"Ponctuation : Manque de virgules autour de l’incise (« depuis plusieurs années ») 
Normes disciplinaires : écrit scientifique : Position syntaxique du complément de phrase (CP) erronée(« pour les administrations fiscales » à mettre en tête de phrase afin d’éviter de juxtaposer deux syntagmes introduits par « pour »)
Orthographe : Terminaison erronée du participe passé (« jouit » au lieu de « joui »)
Normes disciplinaires : Ecrit scientifique : style inapproprié (redondance : « ce sujet constitue…un défi majeur (…), et il constitue un défi majeur (…))
Normes disciplinaires : écrit scientifique : style inapproprié (phrase trop longue)
Correction : Pour les administrations fiscales, ce sujet constitue, depuis plusieurs années, un défi majeur pour améliorer la transparence et la coopération à l’échelle mondiale. De même, Liban éprouve aussi le besoin de mettre en place l’échange des renseignements, étant donné que ce pays a toujours joui d’un système économique libéral dans un contexte financier attractif et performant. 
";"Formation doctorale
Proposition de communication
Langue maternelle : arabe (Liban)
Economique 
";7PHQ-X8UJ;06/05/2019 11:32:36;;06/05/2019 11:34:05;88,8476616;FR;Direct;PC;Terminé
1692;"Cependant, ce pays affronte depuis quelques années de nombreux défis majeurs sur le plan économique, monétaire et fiscal, ce qui nécessite donc l’instauration de réformes structurelles et de remise à niveau de ces politiques conformément aux recommandations de la conférence internationale ‘CEDRE 2018’ à Paris. (1)
https://www.oecd.org/tax/automatic-exchange/crs-implementation-. 
";"Lexique;Syntaxe / Construction des phrases;Discours rapporté / Citation/ Sources";Normes disciplinaires;"Construction syntaxique erronée + Collocation erronée (« l’instauration de réformes structurelles et de remise à niveau (…) » au lieu de « l’instauration de réformes structurelles et la remise à niveau (…) »)
Conventions de citation APA non respectées (référence dans le corps du texte)
";"Formation doctorale
Proposition de communication
Langue maternelle : arabe (Liban)
Economique 
";UMG6-UP5M;06/05/2019 11:34:06;;06/05/2019 11:34:43;36,9279327;FR;Direct;PC;Terminé
1693;Ce projet s’inscrit donc dans cette perspective et vise à traiter le sujet de l’échange d’informations fiscales sur demande et automatique qui sont désormais des standards internationaux  pour l’adaptation de leurs système bancaire et ses législations aux normes internationales et les mesures nécessaires pour garantir la bonne application de la norme d’échange de renseignements pour assurer les fins fiscales et établir un équilibre entre la transparence et le secret des renseignements.;"Ponctuation;Syntaxe / Construction des phrases;Autres";Normes disciplinaires;"Normes disciplinaires : écrit scientifique : style inapproprié (phrase trop longue)
Ponctuation : Manque de virgules autour de l’incise (de signes de ponctuation avant et après une proposition en incise « qui sont désormais des standards internationaux »)
Ponctuation : Manque de virgules autour de l’incise (« désormais »)
Syntaxe : singulier erroné du nom « système bancaire » car « l’adaptation de leur (…) système bancaire (…) aux normes internationales » – il s’agit des systèmes bancaires de différents Etats
Syntaxe : Déterminant erroné (possessif au lieu de défini (« leurs systèmes bancaires et ses législations» au lieu de « les systèmes bancaire et des législations »)
Syntaxe : Accord erroné de deux SN apposés (manque de préposition « de » + plusieurs compléments) (« l’adaptation de leurs système bancaire et ses législations » au lieu de « l’adaptation de leurs système bancaire et des législations »)
Syntaxe : Proposition averbale (« et les mesures nécessaires (…) »)
Syntaxe : accord erroné sujet-verbe présent indicatif P3 (« l’échange d’informations fiscales sur demande et automatique qui sont désormais des standards internationaux » au lieu de « l’échange d’informations fiscales sur demande et automatique qui sont désormais des standards internationaux » – les informations ne peuvent pas être des standards en soi)
Correction (une des possible car on ne sait pas précisément ce que veut dire l’auteure) : Ce projet s’inscrit donc dans cette perspective et vise à traiter le sujet de l’échange d’informations fiscales sur demande et automatique. En effet, la mise en place de cet échange est devenu un standard international.  Les Etats s’en servent pour adapter leurs systèmes bancaires et leurs législations aux normes internationales. Une telle adaptation est une mesure nécessaire pour garantir la bonne application de la norme d’échange de renseignements : elle peut ainsi assurer les fins fiscales et établir un équilibre entre la transparence et le secret des renseignements.  
";"Formation doctorale
Proposition de communication
Langue maternelle : arabe (Liban)
Economique 
";8ANV-EE2S;06/05/2019 11:34:44;;06/05/2019 11:35:29;44,6548809;FR;Direct;PC;Terminé
1694;Cependant la globalisation et l'internationalisation des entreprises sont donc des phénomènes de grande importance pour les administrations fiscales modernes. ;"Ponctuation;Syntaxe / Construction des phrases";;"Ponctuation : Manque de virgule après la structure détachée en tête de phrase (après « cependant »)
Syntaxe : Présence erronée de deux connecteurs ( « cependant » + « donc » => « donc » connecteur superflu)

";"Formation doctorale
Proposition de communication
Langue maternelle : arabe (Liban)
Economique 
";FCRM-287E;06/05/2019 11:35:30;;06/05/2019 11:35:58;27,9346478;FR;Direct;PC;Terminé
1695;Alors que dans le passé, les politiques fiscales étaient mises en place par les autorités locales pour des fins internes, la mondialisation et la libre circulation des capitaux, constituent des défis majeurs pour les systèmes fiscaux dans les différents pays et leur interaction les uns avec les autres. ;"Ponctuation;Syntaxe / Construction des phrases;Autres";Normes disciplinaires;"Ponctuation : Virgule erronée entre le sujet et le verbe (avant « constituent »)
Syntaxe : Connecteur erroné (conjonction « et » avant « leur interaction » au lieu de « du fait de » par ex.)
Normes disciplinaires : Ecrit scientifique : style inapproprié (manque de connecteur pour renforcer l’opposition entre deux propositions)
Correction : Alors que dans le passé, les politiques fiscales étaient mises en place par les autorités locales pour des fins internes, la mondialisation et la libre circulation des capitaux constituent maintenant des défis majeurs pour les systèmes fiscaux dans les différents pays, du fait de leur interaction les uns avec les autres. 
";"Formation doctorale
Proposition de communication
Langue maternelle : arabe (Liban)
Economique 
";EP45-ASX7;06/05/2019 11:36:00;;06/05/2019 11:38:47;166,6961016;FR;Direct;PC;Terminé
1696;De ce fait, la mise en place de traités, conventions et accords internationaux est une solution réalisable non seulement pour adopter des normes communes et harmonisées, mais principalement pour éliminer les anomalies, fiscales dont jouissent certains pays.;"Ponctuation;Syntaxe / Construction des phrases;Autres";Normes disciplinaires;"Syntaxe : Accord erroné de deux SN apposés (manque de préposition « de » + plusieurs compléments) (« la mise en place de traités, conventions et accords internationaux » au lieu de « la mise en place de traités, de conventions et d’accords internationaux »)
Ecrit scientifique : phrase trop longue + construction lourde (« non seulement » et « mais principalement » dans une seule phrase – à supprimer)
Ponctuation : virgule erronée entre le nom et son complément (après « les anomalies »)
Correction : De ce fait, la mise en place de traités, de conventions et d’accords internationaux est une solution réalisable pour adopter des normes communes et harmonisées, ainsi que pour éliminer les anomalies fiscales dont jouissent certains pays.";"Formation doctorale
Proposition de communication
Langue maternelle : arabe (Liban)
Economique 
";B9TQ-HX6U;06/05/2019 11:38:48;;06/05/2019 11:40:47;119,4762067;FR;Direct;PC;Terminé
1697;L’hypoxie désigne une baisse de la biodisponibilité en oxygène (O2) d’un milieu par rapport à un autre ou la disponibilité en oxygène est considérée comme normale [2]. ;Orthographe;;Manque d’accent grave au pronom relatif « où »;"Formation doctorale
Proposition de communication
Langue maternelle : français et/ou autre que le français
Médecine
";9NG7-9WBB;06/05/2019 11:40:49;;06/05/2019 11:48:41;472,703378;FR;Direct;PC;Terminé
1698;Bien que l’hypoxie chronique ait été considérée comme un facteur aggravant dans certaines maladies cardiovasculaire et respiratoire, plusieurs études ont montre des effets bénéfiques de l’exposition a l’hypoxie au niveau cardiorespiratoire dans les modèles animaux [1, 4, 5] et chez l’homme, particulièrement les hypertendus [6] et les sujets en surpoids [7].	;"Orthographe;Syntaxe / Construction des phrases";;"Orthographe + syntaxe : Accord erroné nom-adjectif en nombre (« certaines maladies cardiovasculaire et respiratoire » au lieu de « certaines maladies cardiovasculaires et respiratoires »
Orthographe : Manque d’accent grave à la préposition « à » (« l’exposition a l’hypoxie » au lieu de « l’exposition à l’hypoxie »)
Orthographe : Terminaison erronée du participe passé (manque d’accent aigu à la flexion –é) (« ont montre » au lieu de « ont montré »)
";"Formation doctorale
Proposition de communication
Langue maternelle : français et/ou autre que le français
Médecine
";6E64-TW87;06/05/2019 11:48:43;;06/05/2019 11:49:02;18,5447863;FR;Direct;PC;Terminé
1699;"Cependant de nombreux arguments suggèrent que l’exposition hypoxique entraine des adaptations positives lorsque l’exposition est plus modérée (moins sévère, plus progressive).
D’autres études suggèrent également que l’exposition hypoxique est susceptible de protéger voire de traiter la pathologie.
";"Ponctuation;Discours rapporté / Citation/ Sources;Autres";Normes disciplinaires;"Ponctuation : Manque de virgule après la structure détachée en tête de phrase (après « cependant »)
Ponctuation : Manque de virgule avant la structure détachée introduite par le coordonnant « voire » (avant « voire de traiter la pathologie »)
Citation : Manque de référence (après « de nombreux arguments »)
Citation : Manque de référence (après « d’autres études »)
Normes disciplinaires : écrit scientifique : collocation vague (« des adaptations positives »)
Correction : Cependant, de nombreux arguments (Nom d’auteur année, Nom d’auteur année) suggèrent que l’exposition hypoxique entraine des adaptations positives, comme X ou Y, lorsque l’exposition est plus modérée (moins sévère, plus progressive).
";"Formation doctorale
Proposition de communication
Langue maternelle : français et/ou autre que le français
Médecine
";7LRE-PLC2;06/05/2019 11:49:03;;06/05/2019 11:51:27;144,1138461;FR;Direct;PC;Terminé
1700;Dans cette étude randomisée contrôlée en simple aveugle, 35 sujets (54±9,3 ans, indice de masse corporelle 31,7±3,5 kg・m-2) ont été randomises en 3 groupes (3 séances d'une heure par semaine durant 8 semaines): (...).;"Orthographe;Lexique;Syntaxe / Construction des phrases";;"Syntaxe + orthographe : Terminaison erronée du participe passé (manque d’accent aigu à la flexion –é) (« ont été randomises » au lieu de « ont été randomisés »)
Lexique : Redondance sémantique (« Dans cette étude randomisée …, (…) ont été randomisés…»)
Correction : (« Dans cette étude randomisée …, (…) ont été divisés… »)
";"Formation doctorale
Proposition de communication
Langue maternelle : français et/ou autre que le français
Médecine
";JPR2-UP4Z;06/05/2019 11:51:28;;06/05/2019 11:52:55;87,1489214;FR;Direct;PC;Terminé
1701;HI seulement réduit la variabilité de la fréquence cardiaque (par exemple RMSSD -21 ± 35%, p < 0,05). HC et HI n'ont modifie ni l'indice de masse corporelle, ni la fonction vasculaire, ni l’équilibre glycémique, ni le profil lipidique.;"Orthographe;Syntaxe / Construction des phrases";;Terminaison erronée du participe passé (manque d’accent aigu à la flexion –é) (« n’ont modifie » au lieu de « n’ont modifié »);"Formation doctorale
Proposition de communication
Langue maternelle : français et/ou autre que le français
Médecine
";MHSP-J6WT;06/05/2019 11:52:57;;06/05/2019 11:53:21;24,0804124;FR;Direct;PC;Terminé
1702;L’électrification rurale par des solutions de marché  : s’achemine ton vers un changement de paradigme ? ;"Orthographe;Syntaxe / Construction des phrases";;Orthographe erronée de l’inversion du sujet (« s’achemine ton » au lieu de « s’achemine-t-on »);"Formation doctorale
Proposition de communication
Economique
";27ZR-FD4V;06/05/2019 11:53:22;;06/05/2019 12:08:18;895,3482144;FR;Direct;PC;Terminé
1703;"Les promoteurs de ces marchés, inspirés de la théorie du Bottom of the Pyramid (BOP) développée par CK Prahalad (2004), font l’hypothèse de l’existence d’un énorme gisement commercial de 37 milliards de dollars dépensés annuellement par les populations à bas revenus pour se fournir en énergie traditionnelle et polluante (IFC : 2012) ; un potentiel pouvant être valorisé par les entreprises privées, par le développement modèles innovants d’accès à l’énergie durables et rentables.";"Orthographe;Ponctuation;Syntaxe / Construction des phrases;Autres";Normes disciplinaires;"Orthographe + syntaxe : accord erroné nom-adjectif en nombre (plusieurs compléments) (« modèles innovants d’accès à l’énergie durables et rentables » au lieu de « modèles innovants d’accès à l’énergie durables et rentables » – il est fort probable que l’auteur veuille parler de l’énergie durable et rentable dans ce contexte)
Ponctuation : Signe de ponctuation erroné entre deux principales (point-virgule au lieu de virgule avant « un potentiel »)
Syntaxe : Accord erroné de deux SN apposés (manque de préposition entre deux SN) (« le développement modèles innovants… » au lieu de « les développement des modèles innovants… »)
Normes disciplinaires : Ecrit scientifique : style inapproprié (phrase trop longue)
Correction : Les promoteurs de ces marchés, inspirés de la théorie du Bottom of the Pyramid (BOP) développée par CK Prahalad (2004), font l’hypothèse de l’existence d’un énorme gisement commercial de 37 milliards de dollars dépensés annuellement par les populations à bas revenus pour se fournir en énergie traditionnelle et polluante (IFC : 2012). Un tel potentiel pourrait être valorisé par les entreprises privées, par le développement des modèles innovants d’accès à l’énergie durables et rentables.
";"Formation doctorale
Proposition de communication
Economique
";U4E4-3MRW;06/05/2019 12:08:19;;06/05/2019 12:08:48;28,7223123;FR;Direct;PC;Terminé
1704;Profitant de la mobilisation croissante en faveur de l’accès universel à l’énergie durable dans le monde, de la maturation récente de certaines technologies, du déclin continu du prix des technologies renouvelables et des multiples possibilités d’investissement disponibles dans le secteur, une grande diversité d’acteurs ont développé et mis en œuvre divers modèles économiques d’électrification rurale hors-réseau ciblant les populations pauvres, rurales, dispersées et/ou isolées d’Afrique. ;Autres;Normes disciplinaires;"Ecrit scientifique : style inapproprié (collocation vague avec « certain ») (« certaines technologies »)
Correction : …de certaines technologies, comme X ou Y,… par ex.
";"Formation doctorale
Proposition de communication
Economique
";YNTQ-5K44;06/05/2019 12:08:49;;06/05/2019 12:10:37;107,2686551;FR;Direct;PC;Terminé
1705;Pour nombre d’entre elles, les marchés d’électrification rurales ont représenté un miroir aux alouettes (Karnani, 2007) tant les difficultés ont été insurmontables. ;Ponctuation;;Manque de virgule entre deux propositions (principale + subordonnée introduite par « tant »);"Formation doctorale
Proposition de communication
Economique
";8SZ7-N3K9;06/05/2019 12:10:38;;06/05/2019 12:11:07;29,0526695;FR;Direct;PC;Terminé
1706;En nous appuyant sur des enquêtes de terrain menées au Sénégal et à Madagascar nous essayerons de voir dans quelles mesures ces épreuves du terrain contribuent-elles ou non à faire évoluer les stratégies des marchés BOP d’électrification rurale ? ;"Ponctuation;Syntaxe / Construction des phrases";;"Ponctuation : Manque de virgule après la structure détachée en tête de phrase (gérondif en apposition) (avant « nous essayerons » )
Ponctuation + syntaxe : Marque d’interrogation (point d’interrogation) erronée dans une phrase assertive (point d’interrogation au lieu du point) 
Syntaxe : Marque d’interrogation (inversion sujet-verbe) erronée dans une phrase affirmative (« contribuent-elles » au lieu de « contribuent »)
Correction : En nous appuyant sur des enquêtes de terrain menées au Sénégal et à Madagascar, nous essayerons de voir dans quelles mesures ces épreuves du terrain contribuent ou non à faire évoluer les stratégies des marchés BOP d’électrification rurale.
";"Formation doctorale
Proposition de communication
Economique
";X6N2-MMGX;06/05/2019 12:11:08;;06/05/2019 12:11:43;35,0447042;FR;Direct;PC;Terminé
1707;Très peu d’études ont porté sur les TPE (Letowski, 2019) et leurs pratiques de conciliation entre travail et famille sont méconnues. ;Syntaxe / Construction des phrases;;"Déterminant erroné (possessif au lieu de défini) (manque de référent à « leurs »)
Correction : …et les pratiques de conciliation…
";"Formation doctorale
Proposition de communication
Economique
";DA7D-VBV7;06/05/2019 12:11:45;;06/05/2019 12:14:37;172,4563722;FR;Direct;PC;Terminé
1708;Ces constats nous ont amené à étudier les restaurants traditionnels de moins de 10 salarié.e.s, afin de mieux comprendre les difficultés de conciliations vécues par les dirigeant.e.s et les salarié.e.s, les pratiques informelles de ce milieu et les stratégies de conciliation utilisées par les travailleur.euse.s.;"Orthographe;Syntaxe / Construction des phrases";;Accord erroné du participe passé avec le COD placé avant l’auxiliaire « avoir » (« nous » de modestie) (« …nous ont amené » au lieu de « …nous ont amenée » – l’auteure est une femme);"Formation doctorale
Proposition de communication
Economique
";JQN5-9VKX;06/05/2019 12:14:38;;06/05/2019 12:18:45;246,602303;FR;Direct;PC;Terminé
1709;Enfin dans de nombreux cas, les dirigeant.e.s connaissent les difficultés de CTF de leurs salarié.e.s et les prennent en compte dans l’organisation du travail afin de les aider.;Ponctuation;;Manque de virgule après la structure détachée en tête de phrase (après « enfin »);"Formation doctorale
Proposition de communication
Economique
";BX9R-2NK6;06/05/2019 12:18:46;;06/05/2019 12:19:10;23,3458489;FR;Direct;PC;Terminé
1710;Cette étude a permis de mieux comprendre les difficultés de CTF dans la restauration et d’identifier les stratégies mises en places par les dirigeant.e.s et les salarié.e.s œuvrant dans de très petites entreprises. ;Orthographe;;Orthographe erronée de la locution verbale « mettre en place » (« les stratégies mises en places » au lieu de « les stratégies mises en place »);"Formation doctorale
Proposition de communication
Economique
";YRD3-3P8X;06/05/2019 12:19:12;;06/05/2019 12:19:32;20,0282927;FR;Direct;PC;Terminé
1711;L’objectif général de cette recherche est de contribuer à la compréhension de l’influence des facteurs humains dans l’entretien des conditions favorables à l’avènement  du choléra en République de Guinée et plus particulièrement dans la capitale guinéenne ‘’Conakry’’. ;"Ponctuation;Lexique";;"Ponctuation : Manque de virgules autour de l’incise (« plus particulièrement »)
Ponctuation : Guillemets superflus avec un nom propre (« Conakry » ne doit pas figurer entre guillemets)
Lexique : Choix erroné du mot (« avènement » au lieu de « apparition » par ex. car « avènement » semble connoté très positivement pour introduire « choléra », maladie épidémique) 
Correction : (…) des conditions favorables à l’avènement  du choléra en République de Guinée et, plus particulièrement, dans la capitale guinéenne Conakry.
";"Formation doctorale
Proposition de communication
Langue maternelle : français et/ou autre que français
Médecine
";RQJY-R8N3;06/05/2019 12:19:33;;06/05/2019 12:29:51;618,8609783;FR;Direct;PC;Terminé
1712;Dans le cadre de cette recherche, nous combinerons les deux principales méthodes de recherche en sciences sociales à savoir : la méthode qualitative et celle quantitative. ;"Ponctuation;Lexique;Syntaxe / Construction des phrases;Autres";Normes disciplinaires;"Ponctuation : Manque de virgule avant le coordonnant « à savoir » 
Lexique : Choix erroné du mot (« méthode » au lieu de « approche »)
Syntaxe : Emploi erroné du pronom personnel « celui » avec un adjectif juxtaposé (« celle quantitative » au lieu de « la méthode quantitative »)
Normes disciplinaires : Ecrit scientifique : style inapproprié (redondance + manque de nouvelles informations – les méthodes qualitative et quantitative ne nécessitent pas d’être introduites par « à savoir »)
Correction : Dans le cadre de cette recherche, nous croiserons une approche qualitative et une approche quantitative
";"Formation doctorale
Proposition de communication
Langue maternelle : français et/ou autre que français
Médecine
";CU47-EJZU;06/05/2019 12:29:53;;06/05/2019 12:30:18;25,4519885;FR;Direct;PC;Terminé
1713;Pour la partie qualitative, la présente recherche sera axée sur la réalisation 30 entretiens individuels et 15 focus group. ;Lexique;;Collocation erronée / choix erroné du mot (« axer » au lieu de « s’appuyer ») (« la présente recherche sera axée sur » au lieu de « la présente recherche s’appuiera sur ») ;"Formation doctorale
Proposition de communication
Langue maternelle : français et/ou autre que français
Médecine
";XSW4-Z2F6;06/05/2019 12:30:20;;06/05/2019 12:30:42;21,9524528;FR;Direct;PC;Terminé
1714;Quant à la partie quantitative, elle reposera l’administration de 300 questionnaires repartis auprès des populations 5 communes de Conakry. ;Syntaxe / Construction des phrases;;"Accord erroné de deux SN apposés (manque de préposition entre deux SN) (« des populations 5 communes » au lieu de « des populations de 5 communes »)
Manque de préposition dans la construction verbale « reposer sur » (« reposera l’administration » au lieu de « reposera sur l’administration »)
";"Formation doctorale
Proposition de communication
Langue maternelle : français et/ou autre que français
Médecine
";7GTR-V9TJ;06/05/2019 12:30:42;;06/05/2019 12:31:05;22,4724379;FR;Direct;PC;Terminé
